"Family","sciName","Distribution"
"Buthidae","Charmus indicus Hirst, 1915","Andhra Pradesh, Kerala, Pondicherry and Tamil Nadu."
"Buthidae","Hottentotta rugiscutis (Pocock, 1897) (Fig. 36)","Andhra Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Pondicherry, Tamil Nadu and West Bengal."
"Buthidae","Isometrus (Reddyanus) brachycentrus Pocock, 1899","Kerala, Karnataka, and Tamil Nadu."
"Buthidae","Isometrus (Isometrus) maculatus (De Geer, 1778)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Meghalaya and Tamil Nadu."
"Buthidae","Isometrus(Isometrus) thurstoni Pocock, 1893","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu and West Bengal."
"Buthidae","Lychas albimanus Henderson, 1919","Kerala, Himachal Pradesh, Odisha, Uttar Pradesh and Tamil Nadu"
"Nadu","Lychas hendersoni (Pocock, 1897)","Kerala and Tamil Nadu."
"Nadu","Lychas laevifrons (Pocock, 1897)","Kerala, Bihar, Gujarat, Madhya Pradesh, Maharashtra, Odisha and West Bengal."
"Nadu","Lychas tricarinatus (Simon, 1884)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu, Bihar and Goa."
"Nadu","Buthoscorpio chinnarensis Aswathi, Sureshan & Lourenco, 2015","Kerala."
"Liochelidae","Chiromachetes fergusoni Pocock, 1899","Kerala. "
"Liochelidae","Iomachus laeviceps (Pocock, 1890)","Kerala and Tamil Nadu."
"Liochelidae","Liocheles australasiae (Fabricius, 1775)","Kerala and Andaman & Nicobar Island."
"Scorpionidae","Heterometrus barberi (Pocock, 1900)","Kerala and Tamil Nadu."
"Scorpionidae","Heterometrus gravimanus (Pocock, 1894)","Kerala and Tamil Nadu."
"Scorpionidae","Heterometrus kanaraensis (Pocock, 1900)","Kerala, Karnataka and Goa."
"Scorpionidae","Heterometrus keralaensis Tikader & Bastawade, 1983","Kerala and Maharashtra."
"Scorpionidae","Heterometrus phipsoni (Pocock, 1893)","Kerala, Andhra Pradesh, Madhya Pradesh, Maharashtra, Odisha, West Bengal and Tamil Nadu."
"Scorpionidae","Heterometrus scaber (Thorell, 1876)","Kerala, Karnataka, Maharashtra, Puducherry and Tamil Nadu."
"Scorpionidae","Heterometrus swammerdami Simon, 1872","Kerala, Andhra Pradesh, Chhattisgarh, Madhya Pradesh, Karnataka, Maharashtra, Odisha, Pondicherry, Uttarakhand, Uttar Pradesh, Tamil Nadu and West Bengal."
"Scorpionidae","Heterometrus flavimanus (Pocock,1900)","Kerala and Tamil Nadu"
"Scorpionidae","Rugodentus keralaensis Bastawade, Sureshan & Radhakrishnan, 2005","Kerala."
